cores, grx, 
1, 1.0, 
24, 23.29655172413793, 
48, 42.75949367088607, 
72, 55.68131868131868, 
96, 64.96153846153847, 
120, 70.86713286713287, 
144, 83.06557377049181, 
168, 87.36206896551724, 
192, 99.3529411764706, 
216, 106.67368421052632, 
240, 108.96774193548387, 
