cores, seq, kokkos, oned, span, 
1, 24336, 32430, 24359, 73794, 
5, 24337, 7235, 4942, 15612, 
11, 24383, 4158, 2335, 7233, 
16, 24378, 3754, 1718, 4940, 
22, 24302, 3482, 1428, 3625, 
28, 24329, 3450, 1279, 3054, 
33, 24335, 3381, 1244, 2741, 
39, 24332, 3410, 1198, 2609, 
44, 24271, 3471, 1143, 2565, 
50, 24384, 3482, 1118, 2544, 
56, 24382, 3496, 1112, 2525, 
