Threads, Time, 
1, 1.0, 
5, 1.7876546064038839, 
11, 2.9016298693792626, 
16, 3.85435209802335, 
22, 5.025083805340423, 
28, 6.191654144029592, 
33, 7.205756559935268, 
39, 8.475320772165068, 
44, 9.531383655068778, 
50, 10.813778753901284, 
56, 12.085539244018033, 
