cores, spr, 
1, 1.0, 
11, 11.029268292682927, 
22, 21.95145631067961, 
33, 32.64981949458484, 
44, 43.27272727272727, 
56, 53.514792899408285, 
67, 61.523809523809526, 
78, 71.21259842519684, 
89, 77.96551724137932, 
100, 87.80582524271844, 
112, 91.35353535353535, 
