cores, skx, csx, icx, spr, 
1, 126585, 109887, 60636, 52979, 
4, 31692, 22172, 9496, 4852, 
9, 14099, 10075, 3840, 2428, 
14, 9084, 6934, 2580, 1626, 
19, 6699, 5066, 1949, 1222, 
24, 5314, 4092, 1964, 967, 
28, 9078, 3561, 3249, 1597, 
33, 8210, 2888, 2676, 1516, 
38, 6704, 2559, 2341, 1211, 
43, 5972, 2304, 1934, 1079, 
48, 5658, 7479, 1917, 1164, 
