cores, seq, kokkos, oned, span, 
1, 1.0, 1.0, 1.0, 1.0, 
5, 0.9999589103011874, 4.482377332411887, 4.928976123027114, 4.726748654880861, 
11, 0.9980724275109708, 7.7994227994228, 10.432119914346895, 10.202405640812941, 
16, 0.9982771351218311, 8.638785295684603, 14.178696158323632, 14.938056680161944, 
22, 1.0013990618056128, 9.313612866168869, 17.05812324929972, 20.35696551724138, 
28, 1.000287722471125, 9.4, 19.045347928068804, 24.163064833005894, 
33, 1.0000410930758168, 9.591836734693878, 19.581189710610932, 26.9222911346224, 
39, 1.0001643925694559, 9.510263929618768, 20.3330550918197, 28.284400153315445, 
44, 1.0026780931976433, 9.343128781331028, 21.31146106736658, 28.769590643274853, 
50, 0.9980314960629921, 9.313612866168869, 21.788014311270125, 29.007075471698112, 
56, 0.998113362316463, 9.276315789473685, 21.905575539568346, 29.225346534653465, 
