Threads, TBB, Stat, Dyn, 
1, 392, 389, 390, 
25, 500, 800, 425, 
51, 663, 765, 459, 
76, 2204, 836, 456, 
102, 6222, 816, 510, 
128, 10240, 768, 512, 
