cores, mpl, 
4, 4.0, 
22, 21.238185255198488, 
44, 38.77480586712684, 
67, 46.2821833161689, 
89, 54.209891435464414, 
112, 59.52317880794702, 
134, 45.165829145728644, 
156, 58.82198952879581, 
179, 56.88607594936709, 
201, 58.28793774319066, 
224, 60.64777327935223, 
