cores, oned, clps, span, iota, kokkos, sycl, 
1, 5526, 25198, 82788, 5517, 10017, 14548, 
11, 500, 2289, 7721, 825, 1233, 1472, 
22, 253, 1146, 3884, 564, 855, 826, 
33, 172, 763, 2651, 429, 620, 582, 
44, 129, 573, 2020, 352, 654, 466, 
56, 105, 452, 1584, 321, 555, 380, 
67, 90, 378, 1335, 315, 509, 357, 
78, 81, 325, 1161, 324, 511, 347, 
89, 69, 285, 1338, 327, 499, 355, 
100, 65, 254, 923, 342, 490, 358, 
112, 62, 228, 835, 359, 354, 336, 
