cores, oned, clps, span, diy2d, kokkos, 
1, 16960, 84602, 435128, 89252, 28400, 
5, 3474, 16946, 87941, 18695, 6581, 
11, 1702, 7708, 39934, 8673, 3668, 
16, 1288, 5306, 27607, 5898, 3185, 
22, 1120, 3858, 20029, 4285, 2918, 
28, 1052, 3035, 15756, 3402, 2865, 
33, 1057, 2575, 13495, 2982, 2836, 
39, 1069, 2183, 11418, 2692, 2924, 
44, 1023, 1945, 10101, 2622, 2997, 
50, 1024, 1763, 8874, 2592, 3019, 
56, 1028, 1644, 7937, 2578, 3023, 
