Threads, linear, TwoD, Collapse, Inner, MDspan, 
1, 2168, 831, 1125, 827, 907, 
11, 2178, 891, 1133, 869, 957, 
22, 2178, 990, 1144, 968, 1056, 
33, 2211, 1089, 1221, 1089, 1155, 
44, 2244, 1276, 1320, 1232, 1320, 
56, 2296, 1400, 1400, 1400, 1456, 
