cores, seq, kokkos, oned, span, 
1, 16876, 28393, 16971, 439555, 
5, 16971, 6592, 3473, 88706, 
11, 16877, 3678, 1701, 41434, 
16, 16881, 3180, 1287, 27801, 
22, 16885, 2906, 1117, 20266, 
28, 16978, 2861, 1051, 15922, 
33, 16900, 2818, 1056, 13648, 
39, 16982, 2902, 1068, 12796, 
44, 16911, 3046, 1024, 10256, 
50, 16877, 3033, 1026, 9232, 
56, 16972, 3233, 1024, 8052, 
