cores, icx, 
1, 1.0, 
8, 6.385425442291491, 
16, 15.790625, 
24, 23.50232558139535, 
32, 31.11133914828117, 
40, 30.873727087576373, 
48, 18.66297322253001, 
56, 22.659192825112108, 
64, 25.9017513882956, 
72, 31.35263702171665, 
80, 31.630672926447573, 
