Threads, TwoD, Collapse, MDspan, 
1, 1.0, 1.0, 1.0, 
11, 1.0715048447696263, 1.0437335032310913, 1.067107320258851, 
22, 1.254221870674313, 1.0502411941385275, 1.2447408521501653, 
33, 1.5008898556456398, 1.02060617092928, 1.5301300191961371, 
44, 1.7349416650187859, 1.0640575225266224, 1.8172606914567295, 
56, 1.9999209017203876, 1.061691089469373, 2.1289109655459026, 
