cores, csx, 
1, 1.0, 
5, 4.956115821757171, 
11, 10.906898263027296, 
16, 15.847562734352467, 
22, 21.691077773391235, 
28, 26.85410557184751, 
33, 30.858466722830666, 
39, 38.049515235457065, 
44, 42.941383352872215, 
50, 47.694010416666664, 
56, 14.692739671079021, 
