cores, oned, clps, span, diy2d, kokkos, 
1, 7392, 10788, 23035, 83109, 11146, 
11, 674, 982, 2441, 7646, 1211, 
22, 341, 496, 1268, 3829, 757, 
33, 231, 330, 820, 2552, 581, 
44, 175, 250, 626, 1918, 519, 
56, 144, 199, 490, 1506, 469, 
67, 124, 169, 418, 1259, 438, 
78, 120, 150, 375, 1083, 453, 
89, 105, 134, 361, 950, 441, 
100, 94, 125, 369, 847, 468, 
112, 109, 121, 389, 759, 497, 
